old	new	scope	decl_files
A_EIGEN	A_OWN	global	./kernel/user/kbund.fi
BILD_MAX_H	IMAGE_MAX_H	global	./kernel/user/desktop.fi
BILD_MAX_W	IMAGE_MAX_W	global	./kernel/user/desktop.fi
CCMP_KOPF	CCMP_HEADER	global	./lib/wlan/ccmp.fi
D_WIEDER	D_AGAIN	global	./kernel/usb.fi
EAPOL_FEST	EAPOL_COMMIT	global	./lib/wlan/wpa.fi
EAPOL_KOPF	EAPOL_HEADER	global	./lib/wlan/wpa.fi
ECKE_ABGEFLACHT	CORNER_BEVEL	global	./kernel/vektor.fi
ECKE_GEHRUNG	CORNER_MITER	global	./kernel/vektor.fi
ECKE_RUND	CORNER_ROUND	global	./kernel/vektor.fi
ENDE_ECKIG	END_SQUARE	global	./kernel/vektor.fi
ENDE_RUND	END_ROUND	global	./kernel/vektor.fi
ENDE_STUMPF	END_BUTT	global	./kernel/vektor.fi
E_GROSS	E_BIG	file	./kernel/user/image.fi;./kernel/user/jpeg.fi
E_PLATZ	E_SPACE	global	./kernel/user/image.fi
FENSTER_MAX	WINDOW_MAX	global	./kernel/user/init.fi
FENSTER_MS	WINDOW_MS	global	./kernel/user/init.fi
F_BREITE	F_WIDTH	global	./kernel/cursor.fi
F_HOEHE	F_HEIGHT	global	./kernel/cursor.fi
F_KREUZ	F_CROSS	global	./kernel/cursor.fi
F_LESEN	F_READ	global	./kernel/app/knetz.fi
F_VOLL	F_FULL	global	./lib/wlan/verbinden.fi
F_ZAHL	F_NUM	global	./kernel/app/kjson.fi
F_ZU_KURZ	F_TOO_SHORT	global	./lib/wlan/verbinden.fi
GERAETE_FREI	DEVICES_FREE	global	./kernel/fb.fi
GRACE_KALT	GRACE_COLD	global	./kernel/arch/x86_64/smp.fi
G_ZEIT	G_TIME	global	./lib/wlan/zustand.fi
HDESC_ALT	HDESC_OLD	global	./kernel/i2chid.fi
HERZ_H	BEAT_H	global	./kernel/fb.fi
HERZ_W	BEAT_W	global	./kernel/fb.fi
I18N_ZEILEN	I18N_LINES	global	./kernel/kgui.fi
