symbol_of	sym_of
endet_auf	ends_with
endet_auf_info	ends_with_info
endet_auf_osp	ends_with_osp
zahl_an	num_at
zeile_aus	line_clear
ziel_aus	target_from
archiv_aus	archive_unpack
nach	move_to
zu	close_path
weg	remove
drag_weg	drag_drop
irq_aus	irq_ack
tafel_aus	board_clear
buehne_aus	stage_clear
motion_aus	motion_off
hex_aus	hex_out
num_aus	num_out
set_aus	set_off
tue_aus	do_off
aus	off
hex_ein	hex_in
num_ein	num_in
list_ein	list_in
table_ein	table_in
zeile_an	line_at
zahl_aus	num_out
bild_aus_da	img_out_present
bild_aus_weg	img_out_gone
bild_aus_x0	img_out_x0
bild_aus_x1	img_out_x1
bild_aus_y0	img_out_y0
bild_aus_y1	img_out_y1
vor	before
zurueck	back
halt	halt
halt_forever	halt_forever
halt_sek	halt_secs
kb_zu	kb_close
tip_zu	tip_close
tip_auf	tip_open
tip_offen	tip_open_is
block_auf	block_open
mal	draw
mal_text	draw_text
mal_text_w	draw_text_w
marke_malen	brand_paint
marke_malen_ok	brand_paint_ok
paint_leinwand	paint_canvas
paint_bild	paint_image
paint_kurve	paint_curve
paint_band	paint_band
titel_alt	title_old
kreuz_add	cross_add
kreuz_punkt	cross_point
v_kreuz_add	v_cross_add
farbe_an	color_on
farbe_bei	color_at
datei_her	file_fetch
ordner_her	folder_fetch
mal_kante3	draw_edge3
mal_ascent	draw_ascent
in_sich	self_contained
unter_uns	private
wer_bin_ich	whoami
was_there	was_there
follows_links	follows_links
k_nach_t	k_to_t
t_nach_k	t_to_k
v_nach	v_move_to
v_zu	v_close_path
kanal_dreh	swap_rb
fui_gruende	fui_reasons
melde_fui	report_fui
fui_gemalt	fui_painted
fui_abgelehnt	fui_rejected
