old	new	scope	decl_files
aad_und_nonce	aad_and_nonce	global	./lib/wlan/ccmp.fi
ab_zeile	from_line	global	./kernel/kgui.fi
abi_wert	abi_value	global	./kernel/ksym.fi
ablage_bild	clipboard_image	global	./kernel/user/snip.fi
ablage_tun	clipboard_do	global	./kernel/user/explorer.fi
ablage_zahl	clipboard_num	global	./kernel/user/expakt.fi
absturz_zeilen	crash_lines	global	./kernel/kgui.fi
adresse_lesen	addr_read	global	./kernel/app/jarvisd.fi
adresse_setzen	addr_set	global	./lib/wlan/geraet.fi
akm_setzen	akm_set	global	./lib/wlan/verbinden.fi
aktuell_setzen	current_set	global	./kernel/user/opk.fi
alle_pruefen	all_check	global	./kernel/user/du.fi
alles	all	global	./kernel/user/dispctl.fi
alles_malen	all_paint	global	./kernel/user/desktop.fi
alt_key	old_key	global	./kernel/kbd.fi
anbieter_lesen	provider_read	global	./kernel/user/settings.fi
anim_aus	anim_off	global	./kernel/wm.fi
ansicht_frisch	view_refresh	global	./kernel/user/explorer.fi
ansicht_setzen	view_set	global	./kernel/user/explorer.fi
anspruch_lesen	claim_read	global	./kernel/app/anb_xoffi.fi
ansprueche_pruefen	claims_check	global	./kernel/app/anb_xoffi.fi
antw_frei	reply_free	global	./kernel/app/knetz.fi
antw_neu	reply_new	global	./kernel/app/knetz.fi
antwort_kopf	reply_header	global	./kernel/user/dnswt.fi
antwort_lesen	reply_read	global	./kernel/app/anb_xoffi.fi
archiv_aus	archive_unpack	global	./kernel/user/opk.fi
archiv_lesen	archive_read	global	./kernel/user/zip.fi
arg_zaehlen	arg_count	global	./kernel/app/jarvisd.fi
ata_fehler	ata_error	global	./kernel/blk.fi
ata_letzte_lba	ata_last_lba	global	./kernel/blk.fi
aus	off	file	./kernel/serial.fi;./kernel/user/zip.fi
aus_frequenz	off_freq	global	./lib/wlan/kanal.fi
aus_huelle	off_envelope	global	./kernel/user/kbund.fi
aus_index	off_index	global	./kernel/user/du.fi
auswahl_liste	select_list	global	./kernel/user/explorer.fi
b64u_wert	b64u_value	global	./kernel/app/kjson.fi
badentry_zahl	badentry_num	global	./kernel/proc.fi
