# tools/laden/apps.tab -- WAS DER LADEN AUSLIEFERT.
#
# Eine Zeile je Paket. Getrennt wird mit dem senkrechten Strich, weil
# in den Feldern Kommas und Leerzeichen vorkommen und Tabulatoren in
# einem Editor unsichtbar sind.
#
#   1 paket      der Paketname. Er ist auch der Verzeichnisname des
#                installierten Buendels: /apps/<paket>.osp
#                (kernel/user/opk.fi, `apps_bauen`). Also ENGLISCH und
#                klein -- die Namensregel dieses Projekts.
#   2 programm   welche Datei aus tools/laden/build.sh als `start` ins
#                Paket geht.
#   3 fassung    die Fassung des Pakets.
#   4 titel      der Anzeigename. DEUTSCH, denn er steht auf dem Schirm.
#   5 info       ein Satz, der sagt, was es tut.
#   6 keys       wonach man suchen kann, damit man es findet, OHNE den
#                Namen zu kennen (kernel/user/appdir.fi).
#   7 art        fenster | konsole -- ob das Programm ein Fenster
#                aufmacht oder auf der Konsole laeuft. Steht als
#                `handle=` in den Metadaten des Pakets.
#
# paket|programm|fassung|titel|info|keys|art
explorer|explorer|1.0.0|Datei-Explorer|Dateien und Ordner ansehen, kopieren und sichern|datei,dateien,explorer,ordner,verzeichnis,manager,file,files,folder|fenster
edit|edit|1.0.0|Editor|Text schreiben und ändern|editor,text,schreiben,edit,notiz,tippen,schreibmaschine|fenster
settings|settings|1.0.0|Einstellungen|Darstellung, Sprache, Netz und Konten einstellen|einstellungen,settings,optionen,darstellung,sprache,konto,system|fenster
widgetdemo|widgetdemo|1.0.0|Widgets|Alle Bedienelemente auf einen Blick|widgets,knopf,liste,reiter,dialog,probe,bedienelemente|fenster
netview|netview|1.0.0|Netzsicht|Welches Programm welches Netz sehen darf|netz,netzwerk,netview,sicht,freigabe,firewall,network|konsole
themetest|themetest|1.0.0|Vorlagen|Farbschemata und Vorlagen ansehen und prüfen|vorlage,vorlagen,theme,farbe,farben,schema,darstellung,kontrast|fenster
top|top|1.0.0|Prozesse|Was gerade läuft und was es kostet|prozesse,top,last,cpu,speicher,tasks,monitor|konsole
netmon|netmon|1.0.0|Netzmonitor|Verbindungen und Durchsatz in Echtzeit|netz,monitor,netmon,verbindungen,durchsatz,traffic,bandbreite|fenster
calc|rechner|1.0.0|Rechner|Rechnen, umrechnen, wissenschaftlich|rechner,taschenrechner,rechnen,calc,mathe,einheiten,umrechnen|fenster
trash|papierkorb|1.0.0|Papierkorb|Gelöschte Dateien ansehen und zurückholen|papierkorb,müll,trash,gelöscht,wiederherstellen,zurückholen|fenster
viewer|viewer|1.0.0|Bildbetrachter|Bilder ansehen: PNG, JPEG und BMP|bild,bilder,foto,fotos,png,jpeg,bmp,betrachter,viewer,ansehen|fenster
snip|snip|1.0.0|Ausschnitt|Bildschirmfotos machen und beschriften|ausschnitt,bildschirmfoto,screenshot,snip,aufnahme,foto|fenster
zip|zip|1.0.0|Archive|ZIP-Archive packen und entpacken|zip,archiv,packen,entpacken,komprimieren,archive|konsole
lock|lock|1.0.0|Sperrbildschirm|Den Bildschirm sperren und mit Kennwort öffnen|sperre,sperren,lock,kennwort,bildschirmsperre,sicherheit|fenster
